isoform_ID,miRNA_ID,length,n_segments
"chr3|154274462,154274793,154276062,154277661|154274618,154274934,154276140,154277718|-",hsa-miR-6750-5p,436,1
"chr17|43201686,43202655,43203681|43201780,43202712,43203786|+",hsa-miR-412-3p,259,1
"chr13|60483775,60485799,60494435,60509763,60510630|60483846,60485948,60494575,60509919,60510755|+",hsa-miR-4751,646,1
"chr9|85657435,85660936,85669485,85672550,85677436,85678335,85681268,85692689,85712502|85657643,85660973,85669578,85672681,85677582,85678398,85681335,85692813,85712566|-",hsa-miR-145-5p,942,1
"chr14|39313340,39314739,39315683,39317944,39319209,39326864|39313441,39314799,39315718,39318011,39319291,39327022|+",hsa-miR-6827-5p,509,1
"chr10|27111986,27114521,27116060,27116219|27112120,27114607,27116133,27116345|-",hsa-miR-4769-3p,423,1
"chr2|3387620,3401871|3387806,3401893|+",hsa-miR-6752-5p,210,1
"chr7|11028681,11035640,11036418,11036985,11038760,11040672,11042683|11028818,11035786,11036688,11037091,11038855,11040779,11042814|+",hsa-miR-146a-3p,999,1
"chr22|17683214,17688986,17696141|17683321,17689142,17696210|+",hsa-miR-6720-5p,335,1
chrX|107088436|107088839|-,hsa-miR-6876-3p,404,1
"chr10|11747349,11749495,11755537|11747470,11749554,11755608|+",hsa-miR-4650-3p,254,1
"chr15|65248117,65259464,65260885,65263149,65266562,65270935|65248228,65259542,65261026,65263320,65266768,65271072|-",hsa-miR-7974,850,1
"chr22|37809949,37812887,37813463|37810157,37812988,37813609|+",hsa-miR-3909,458,1
"chr12|122232326,122232800,122235786,122238587,122239878,122242382,122244569|122232427,122232968,122235923,122238724,122239945,122242508,122244762|-",hsa-miR-8064,936,1
"chr22|45689712,45692996,45700282,45702689,45718413,45729425|45689903,45693078,45700378,45702847,45718493,45729590|+",hsa-miR-501-3p,778,1
"chr3|128637799,128644535,128644919|128638105,128644650,128644983|-",hsa-miR-6772-5p,488,1
"chr4|2875896,2881898,2884515|2876110,2882060,2884666|+",hsa-miR-4651,530,1
"chr14|67269701,67279250,67303552|67269783,67279486,67303599|+",hsa-miR-4642,368,1
"chr3|195688533,195689339,195696361,195699030|195688797,195689438,195696589,195699178|+",hsa-miR-6830-3p,743,1
"chr2|177468416,177482059,177493148,177497689,177499618,177505506,177507970|177468524,177482186,177493199,177497765,177499730,177505575,177508031|+",hsa-miR-3127-5p,611,1
"chr15|43376098,43376503,43377014,43377847,43380084|43376226,43376625,43377067,43377903,43380163|+",hsa-miR-6819-5p,443,1
"chr12|31398175,31415348|31398362,31415448|-",hsa-miR-370-3p,289,1
"chr11|74118228,74122988,74132844,74133425|74118382,74123135,74132972,74133557|-",hsa-miR-12124,565,1
"chr4|55411614,55416042,55417072,55417803,55424538|55411839,55416157,55417247,55417985,55424643|+",hsa-miR-1251-5p,807,1
"chr16|23532657,23552222|23532780,23552304|-",hsa-miR-6132,207,1
"chr20|35927780,35931249|35927879,35931444|+",hsa-miR-1182,296,1
"chr1|117396952,117402186,117405549,117414713,117420569|117397021,117402441,117405645,117414831,117420649|+",hsa-miR-7151-5p,623,1
"chr8|73673107,73688654,73697308,73709032|73673242,73688895,73697442,73709162|-",hsa-miR-4423-5p,644,1
"chr4|151566138,151577450|151566364,151578076|+",hsa-miR-4472,854,1
"chr10|7367649,7370281,7381799|7367889,7370375,7381949|-",hsa-miR-302a-3p,487,1
"chr13|97982503,97985421,97989062,97990126,97990433,97992892,97993105|97982583,97985613,97989164,97990222,97990537,97993014,97993225|+",hsa-miR-2682-3p,823,1
"chr16|46668930,46671705,46672265,46674314,46674564,46676583,46677315|46669052,46671860,46672472,46674462,46674660,46676692,46677398|-",hsa-miR-378c,927,1
"chr8|43069555,43072181,43077216,43083118,43084710,43085160|43069659,43072307,43077364,43083180,43084881,43085396|+",hsa-miR-4676-5p,853,1
"chr3|51463114,51466803|51463227,51466876|-",hsa-miR-6720-5p,188,1
chr12|1110192|1110347|+,hsa-miR-29b-3p,156,1
"chr18|26057589,26078076|26057742,26078160|-",hsa-miR-1268b,239,1
"chr15|77477555,77478295,77479179|77477630,77478510,77479321|+",hsa-miR-3692-5p,435,1
"chr10|16695023,16752539,16752918,16754871,16764390,16782034|16695155,16752653,16753000,16754989,16764510,16782084|-",hsa-miR-7160-5p,622,1
"chr1|185087552,185091579,185093061|185087640,185091739,185093276|+",hsa-miR-4675,466,1
"chr19|47352754,47355180|47353082,47355350|+",hsa-miR-2110,500,1
"chr6|75659262,75663221,75666712,75670553|75659407,75663518,75666941,75670720|+",hsa-miR-6165,842,1
"chr5|173932450,173944967,173949508,173949960,173951824,173953091|173932500,173945140,173949597,173950078,173951938,173953272|+",hsa-miR-425-3p,731,1
"chr10|281200,281448,283272,286273,288364,310031|281323,281785,283446,286347,288421,310092|-",hsa-miR-6811-3p,832,1
"chr2|202695881,202724917,202726250|202696032,202725009,202726363|+",hsa-miR-4739,359,1
"chr12|56603359,56603520,56604217,56604585,56605073|56603418,56603700,56604291,56604799,56605327|-",hsa-miR-12122,786,1
"chr8|17268258,17268856,17274733,17276397,17280028,17280239,17280375,17284473,17286347|17268372,17268956,17274958,17276467,17280155,17280297,17280443,17284616,17286427|+",hsa-miR-10400-3p,994,1
"chr22|40270122,40273425|40270280,40273600|+",hsa-miR-320a-5p,335,1
"chr13|20790462,20796076,20822251|20790580,20796189,20822289|-",hsa-miR-149-5p,272,1
"chr17|60265412,60265976,60269450,60271350,60288523,60294683|60265474,60266091,60269557,60271481,60288682,60294801|-",hsa-miR-6776-3p,698,1
chr3|49510419|49510819|+,hsa-miR-3976,401,1
"chr16|1683509,1685439,1691843,1697812,1698811|1683592,1685587,1691985,1697860,1699047|+",hsa-miR-3692-5p,662,1
"chr15|43428016,43432194,43438324,43441526|43428168,43432677,43438416,43441583|-",hsa-miR-4652-5p,788,1
"chr9|112250929,112252678,112262435,112268049,112275844,112297841,112330441|112251103,112252788,112262599,112268195,112276013,112297916,112330474|-",hsa-miR-6757-5p,878,1
"chr13|113138066,113138457,113139357,113140919,113143851,113147379|113138199,113138481,113139470,113141050,113144095,113147496|+",hsa-miR-939-3p,768,1
"chr10|101975212,101990551,101991969,101993538,101995297|101975300,101990611,101992038,101993603,101995355|-",hsa-miR-2278,345,1
"chr9|86003585,86007358,86009865,86013046,86013719,86016539,86017498,86018255,86018699|86003644,86007464,86009931,86013144,86013897,86016675,86017565,86018395,86018821|+",hsa-miR-6770-3p,981,1
"chr3|129838898,129860940,129880309|129839060,129861012,129880562|-",hsa-miR-3689c,490,1
"chr16|1685439,1691843,1697812,1698811|1685587,1691985,1697860,1699047|+",hsa-miR-6793-5p,578,1
"chr3|47675475,47676629,47686049|47675588,47676765,47686170|-",hsa-miR-2467-3p,373,1
"chr12|116928023,116945364,116949618,116964697|116928127,116945528,116949706,116964854|+",hsa-miR-484,517,1
"chr6|34606555,34646601|34606904,34646798|-",hsa-miR-4722-5p,548,1
"chr3|105720047,105734009,105737171,105740494,105745917,105751462|105720250,105734140,105737258,105740631,105746038,105751618|-",hsa-miR-3127-5p,841,1
"chr6|15374117,15410224,15452006|15374252,15410365,15452175|+",hsa-miR-3135b,448,1
"chr8|33503429,33503748|33503572,33503935|-",hsa-miR-4530,332,1
"chr7|127976652,127990947|127977279,127991056|+",hsa-miR-6845-3p,738,1
"chr13|25326916,25327430,25331357,25336936,25338636|25327034,25327512,25331558,25337034,25338731|+",hsa-miR-4756-3p,599,1
"chr4|70762519,70763552,70764475,70768538|70762692,70763669,70764576,70768661|+",hsa-miR-3135b,518,1
"chr17|62029541,62029851,62031444,62033787,62035463,62052537|62029651,62030013,62031638,62033984,62035608,62052705|-",hsa-miR-4758-5p,982,1
chr12|10709908|10710788|-,hsa-miR-5193,881,1
"chr17|31940286,31940422,31988365|31940332,31940486,31988497|+",hsa-miR-4724-5p,245,1
"chr19|47416652,47416804,47417178|47416702,47416963,47417350|-",hsa-miR-6089,384,1
"chr7|128579999,128591850,128631838,128638774|128580094,128591935,128631869,128638897|+",hsa-miR-4793-5p,338,1
"chr11|126203345,126204231|126203657,126204328|-",hsa-miR-4763-3p,411,1
"chr7|128967280,128972510,128974868,128975819|128967361,128972582,128974962,128975935|-",hsa-miR-8057,367,1
"chr17|661809,697418,699331,710533|661895,697484,699380,710613|-",hsa-miR-4793-5p,285,1
"chr2|223878529,223880182,223881942,223884648|223878730,223880232,223882072,223884749|-",hsa-miR-346,486,1
"chr2|42280850,42282823,42284634,42286269,42288227|42280973,42282972,42284703,42286379,42288322|+",hsa-miR-4727-5p,551,1
"chr5|78374222,78388837,78415520,78416541,78418775,78421801|78374339,78388914,78415618,78416649,78418903,78421960|+",hsa-miR-544b,693,1
"chr15|90448573,90449559,90452775,90453132,90454428,90456152|90448736,90449643,90452938,90453292,90454552,90456315|+",hsa-miR-16-1-3p,863,1
"chr1|154253900,154254836,154255152,154255683|154254089,154254890,154255326,154255755|+",hsa-miR-6814-5p,493,1
"chr4|78859584,78861389,78865557|78859687,78861468,78865720|+",hsa-miR-3129-5p,348,1
"chr15|89113725,89116322,89151677,89155367|89113824,89116521,89151852,89155534|+",hsa-miR-4294,644,1
"chr16|71676447,71678755,71679389,71681751|71676649,71678985,71679535,71681905|-",hsa-miR-6888-5p,736,1
"chr5|95763508,95768046,95780252,95783797,95788762|95763620,95768166,95780425,95783963,95788858|+",hsa-miR-3187-5p,672,1
"chr5|138561580,138566626,138567001,138567455,138567649|138561789,138566718,138567163,138567561,138567722|-",hsa-miR-134-3p,647,1
"chr15|76214525,76215574,76225849,76231333,76243166,76274412,76283757,76285637,76286371,76287846|76214697,76215686,76225929,76231398,76243267,76274494,76283825,76285738,76286481,76287945|-",hsa-miR-6823-3p,1000,1
"chr1|64663695,64664498|64663837,64664679|+",hsa-miR-3064-5p,325,1
"chr17|59185054,59185440,59193492,59194757,59195331,59197544,59197693|59185204,59185562,59193734,59194855,59195443,59197603,59197789|+",hsa-miR-3064-5p,886,1
"chr6|158143056,158144299,158146782,158148865,158150453|158143184,158144420,158146913,158148954,158150589|-",hsa-miR-4786-3p,610,1
"chr1|153748689,153751095,153752279,153754642,153757572|153748755,153751239,153752408,153754739,153757763|+",hsa-miR-6836-5p,632,1
"chr12|131917411,131918403|131917630,131918681|+",hsa-miR-4488,499,1
"chr1|30974651,30980062,30981312|30974802,30980163,30981405|-",hsa-miR-1293,348,1
"chr17|59976024,59976656,59987447,59989264,59995632,59995953,59998138|59976132,59976770,59987604,59989344,59995814,59996039,59998237|-",hsa-miR-4691-5p,833,1
"chr5|179705679,179710028|179705872,179710065|+",hsa-miR-12118,232,1
"chr7|98137315,98141397,98151382,98154758|98137442,98141541,98151455,98154876|+",hsa-miR-6127,466,1
"chr17|59185054,59185440,59193492,59194757,59195331,59197544,59197693|59185204,59185562,59193734,59194855,59195443,59197603,59197789|+",hsa-miR-6774-5p,886,1
"chr7|30872243,30875495,30882181,30882921|30872306,30875656,30882361,30882993|+",hsa-miR-6823-3p,480,1
"chr22|41131388,41135813,41137653,41140140,41141048|41131633,41135906,41137790,41140257,41141222|+",hsa-miR-711,771,1
"chr5|134199086,134200335,134200985,134201848,134205922|134199204,134200496,134201074,134202021,134206131|-",hsa-miR-6828-3p,755,1
"chr20|36829054,36839217|36829203,36839441|-",hsa-miR-6765-3p,375,1
"chr2|159478575,159548674,159555823|159478721,159548797,159555865|-",hsa-miR-6802-5p,314,1
"chr1|154234591,154235196,154236566,154237024,154241513,154243217,154246204|154234759,154235291,154236611,154237136,154241565,154243306,154246375|+",hsa-miR-4493,739,1
"chr13|35822729,35827635,35836113,35839092|35822875,35827690,35836141,35839176|-",hsa-miR-10394-5p,317,1
"chr20|5175183,5176648,5178817|5175279,5176745,5178956|+",hsa-miR-6753-5p,335,1
"chr11|3723157,3725103,3731391,3735191,3744509,3753316|3723455,3725219,3731578,3735324,3744649,3753408|-",hsa-miR-3692-5p,972,1
"chr9|131444185,131446401,131447085,131447662|131444328,131446642,131447206,131447804|+",hsa-miR-6849-3p,651,1
"chr15|51911040,51916015,51921496,51934250|51911152,51916133,51921616,51934354|+",hsa-miR-11181-3p,458,1
chr14|90288217|90289145|-,hsa-miR-3937,929,1
"chr11|111752159,111753443,111754499,111754980,111755295|111752332,111753577,111754569,111755094,111755450|-",hsa-miR-7150,651,1
"chr19|11041307,11058255,11058788,11059753,11060045|11041560,11058363,11058889,11059885,11060187|+",hsa-miR-6837-3p,741,1
"chr3|47670658,47675475,47676629,47678198,47680437,47686049,47689387,47693241|47670717,47675588,47676782,47678311,47680508,47686170,47689424,47693300|-",hsa-miR-2467-3p,734,1
"chr13|30227412,30230468,30231314,30240460,30240959,30280063,30283616|30227546,30230594,30231472,30240565,30241086,30280223,30283791|-",hsa-miR-145-3p,992,1
"chr22|46891266,46894784,46912074|46891394,46894846,46912188|+",hsa-miR-3127-5p,307,1
"chr16|30664715,30665035,30665306|30664920,30665079,30665401|+",hsa-miR-1913,347,1
"chr7|90863175,90899291,90908318,90917601,90955697|90863269,90899353,90908490,90917724,90955817|+",hsa-miR-138-5p,576,1
"chr3|47675475,47676629,47678198|47675588,47676782,47678311|-",hsa-miR-7854-3p,382,1
"chr6|135394776,135404951,135411348,135427167,135428629|135394896,135404977,135411544,135427307,135428759|-",hsa-miR-608,617,1
"chr3|151409243,151411278,151413139,151416312|151409332,151411507,151413295,151416422|+",hsa-miR-762,588,1
"chr6|3104225,3105482|3104315,3106051|+",hsa-miR-6807-3p,661,1
"chr2|152123766,152126226,152132114,152133173,152133402,152135509|152123935,152126379,152132168,152133260,152133484,152135603|-",hsa-miR-7974,645,1
"chr2|43397971,43428100,43430213,43485234,43498833,43505622,43508648,43527879|43398139,43428231,43430302,43485325,43498955,43505735,43508780,43527988|-",hsa-miR-6825-5p,963,1
"chr12|120560726,120562945,120563347,120563810|120560886,120563070,120563623,120563943|+",hsa-miR-3714,698,1
"chr3|111913319,111919072,111920282|111913702,111919215,111920419|+",hsa-miR-873-3p,666,1
"chr22|17655662,17689015|17655724,17689142|+",hsa-miR-4656,191,1
"chr8|38337305,38348114|38337387,38348215|-",hsa-miR-188-5p,185,1
"chr1|145771711,145784539,145788908|145771919,145784596,145788966|-",hsa-miR-611,326,1
"chr2|33293160,33300451,33301522|33293282,33300573,33301644|+",hsa-miR-9985,369,1
"chr21|33530759,33531489,33532345,33534579,33535225,33539171|33530884,33531557,33532456,33534753,33535320,33539356|-",hsa-miR-10398-5p,764,1
"chr6|7176655,7181124,7181870,7187434,7189159,7210804,7211573|7176773,7181246,7182082,7187523,7189322,7210948,7211709|+",hsa-miR-4784,991,1
"chr3|51440970,51441385,51443766,51463114|51441071,51441897,51443903,51463227|-",hsa-miR-7113-5p,867,1
"chr1|28683583,28690074,28691585,28692942,28696927,28702438|28683740,28690186,28691709,28693045,28697084,28702569|+",hsa-miR-6829-3p,790,1
"chr10|13659323,13660316,13663453|13659490,13660553,13663509|-",hsa-miR-7106-5p,463,1
"chr15|85655417,85664563,85669722,85682158,85684741|85655787,85664755,85669830,85682212,85684873|+",hsa-miR-4489,861,1
"chr11|61366118,61367428|61366216,61367525|+",hsa-miR-6086,197,1
"chr1|24839860,24840773|24840041,24841077|+",hsa-miR-1205,487,1
"chr7|92448752,92449092,92450042,92450701,92454502|92448877,92449213,92450156,92450760,92454685|+",hsa-miR-4537,607,1
"chr10|12249581,12250311|12249718,12250469|+",hsa-miR-320a-5p,297,1
"chr2|63949037,63962058,63965835|63949163,63962443,63965966|-",hsa-miR-4738-3p,645,1
"chr3|49044390,49046425,49047069,49056862,49057792|49044504,49046579,49047246,49057043,49057890|-",hsa-miR-1271-3p,729,1
"chr3|47610066,47622207,47638725|47610327,47622341,47638780|-",hsa-miR-660-3p,453,1
"chr17|32605087,32755573|32605198,32755662|-",hsa-miR-580-5p,202,1
"chr13|75299330,75302243,75306313,75309942,75312738|75299574,75302401,75306471,75310151,75312898|-",hsa-miR-4768-3p,934,1
"chr6|163534982,163561982,163563420,163566721,163570694|163535125,163562069,163563719,163566795,163570784|+",hsa-miR-3619-5p,698,1
"chr7|105038126,105040839,105066727|105038199,105040892,105066807|+",hsa-miR-1202,209,1
"chr2|241140521,241142837|241140753,241143074|-",hsa-miR-6781-5p,471,1
"chr9|83661777,83663875,83665030,83669185|83661939,83664043,83665145,83669327|-",hsa-miR-1538,591,1
"chr1|117402186,117405549,117414713,117420569,117442231|117402441,117405645,117414831,117420649,117442325|+",hsa-miR-7151-5p,648,1
"chr16|89098591,89102694|89098704,89102759|+",hsa-miR-105-5p,180,1
"chr16|2328453,2329648|2328757,2329854|-",hsa-miR-4534,512,1
"chr16|4650365,4651963,4652678,4657246|4650483,4652051,4652824,4657363|+",hsa-miR-3917,473,1
"chr1|151408100,151408409,151408694|151408240,151408581,151408828|-",hsa-miR-3689b-3p,449,1
"chr21|33530759,33531489,33532345,33534579,33535225,33539171|33530884,33531557,33532456,33534753,33535320,33539356|-",hsa-miR-34c-5p,764,1
"chr19|34194478,34196634,34208929,34215124,34215596|34194641,34196763,34209051,34215300,34215661|+",hsa-miR-1587,660,1
"chr5|140485589,140486958|140485732,140487060|+",hsa-miR-642b-3p,247,1
"chr17|82884145,82889668,82900651|82884202,82889697,82900731|+",hsa-miR-604,169,1
"chr22|31725538,31738387|31725610,31738911|-",hsa-miR-6842-3p,598,1
"chr19|40255158,40256926,40265222|40255269,40257054,40265351|-",hsa-miR-6165,371,1
"chr4|38054199,38089932,38103095|38054338,38090105,38103157|+",hsa-miR-3670,377,1
"chr16|70261044,70262346,70264958,70265538,70267659,70268271|70261157,70262524,70265102,70265662,70267809,70268379|-",hsa-miR-6764-5p,823,1
"chr8|130118161,130118489,130124013,130125956|130118246,130118675,130124104,130126089|-",hsa-miR-3127-3p,499,1
"chr10|92311135,92326835,92327602,92329106,92333470,92340673|92311337,92326930,92327744,92329232,92333625,92340803|+",hsa-miR-7702,856,1
"chr1|171523221,171523435,171524821,171527791|171523354,171523522,171524965,171527844|+",hsa-miR-1229-5p,421,1
"chr9|133939103,133946579|133939219,133946703|-",hsa-miR-3194-3p,242,1
"chr8|140846260,140846599,140864312,140879471,140890543,140925661|140846322,140846678,140864399,140879637,140890769,140925749|-",hsa-miR-6886-5p,714,1
"chr2|222900674,222904863,222908733|222900780,222905070,222909150|+",hsa-miR-6768-5p,733,1
"chr11|34082825,34082955,34086064,34086305,34089395|34082877,34083041,34086219,34086413,34089456|+",hsa-miR-760,467,1
"chr1|178737108,178737803,178739400,178741488|178737194,178737904,178739566,178741609|+",hsa-miR-1304-3p,478,1
"chr16|70261044,70262346,70264958,70265538,70267659,70268271|70261157,70262524,70265102,70265662,70267809,70268379|-",hsa-miR-6735-3p,823,1
"chr7|5356916,5359398|5357276,5359569|-",hsa-miR-3691-3p,533,1
"chr3|71000972,71015549,71041328,71046942,71052537,71053636|71001059,71015653,71041532,71047095,71052626,71053773|-",hsa-miR-370-3p,780,1
"chr4|16585922,16588710,16595703|16586005,16588832,16595875|-",hsa-miR-640,380,1
"chr22|32478981,32483897,32485068,32487745|32479275,32484124,32485209,32487828|+",hsa-miR-21-3p,749,1
"chr18|26052624,26057589,26068494,26078076|26052845,26057742,26068557,26078160|-",hsa-miR-1268b,525,1
"chr1|160998827,160999043,160999636,160999876,161000146,161000631,161001020,161001285,161002540|160998906,160999091,160999747,160999978,161000348,161000777,161001127,161001353,161002613|-",hsa-miR-3622a-5p,945,1
chr15|63774694|63775649|-,hsa-miR-6829-5p,956,1
"chr15|50289483,50300789,50301221|50289668,50300902,50301368|-",hsa-miR-6514-5p,448,1
"chr11|73707420,73716251|73707513,73716362|-",hsa-miR-7110-3p,206,1
"chr4|47885498,47885879,47890613|47885657,47885999,47890703|-",hsa-miR-323a-5p,372,1
"chr3|186791725,186792490,186792804,186794658,186797535,186801117,186804583|186791850,186792610,186792947,186794777,186797614,186801195,186804724|-",hsa-miR-5708,812,1
"chr14|65629492,65669243|65629606,65669480|+",hsa-miR-4713-5p,353,1
"chr20|13528446,13534022,13559008,13569507,13580897,13587250,13623446,13625185,13629934|13528511,13534141,13559114,13569586,13580981,13587370,13623514,13625252,13630152|-",hsa-miR-3922-5p,935,1
"chr9|137710967,137716626|137711030,137717182|+",hsa-miR-7152-5p,621,1
"chr3|65437155,65439879,65442792,65448022,65453258|65437247,65440012,65442849,65448057,65453340|-",hsa-miR-4695-5p,404,1
"chr9|130622708,130623611,130626364|130622810,130623711,130626505|+",hsa-miR-612,346,1
"chr8|11355069,11356105,11358136,11359214,11361635,11368433|11355161,11356291,11358178,11359284,11361727,11368452|+",hsa-miR-6889-5p,507,1
